id|Niv_1|Niv_2|Niv_3|Niv_4|Niv_5|Niv_6|Niv_7|Niv_8|attribute|valeur|
1002|road||||||||name|J2|
1002|road||||||||length|44.700000|
1002|road||||||||id|1002|
1002|road||||||||junction|1|
1002|road|link|predecessor||||||elementType|road|
1002|road|link|predecessor||||||elementId|2|
1002|road|link|predecessor||||||contactPoint|start|
1002|road|link|successor||||||elementType|road|
1002|road|link|successor||||||elementId|3|
1002|road|link|successor||||||contactPoint|end|
1002|road|type|speed||||||max|8|
1002|road|type|speed||||||unit|m/s|
1002|road|type|||||||s|0.000000|
1002|road|type|||||||type|town|
1002|road|planView|geometry||||||s|0.000000|
1002|road|planView|geometry||||||x|10.912186|
1002|road|planView|geometry||||||y|-47.860239|
1002|road|planView|geometry||||||hdg|0.693932|
1002|road|planView|geometry||||||length|5.700000|
1002|road|planView|geometry|poly3|||||a|0.000000|
1002|road|planView|geometry|poly3|||||b|0.000000|
1002|road|planView|geometry|poly3|||||c|0.003802|
1002|road|planView|geometry|poly3|||||d|-0.000523|
1002|road|planView|geometry||||||s|5.700000|
1002|road|planView|geometry||||||x|15.294829|
1002|road|planView|geometry||||||y|-44.216178|
1002|road|planView|geometry||||||hdg|0.653021|
1002|road|planView|geometry||||||length|5.600000|
1002|road|planView|geometry|poly3|||||a|0.000000|
1002|road|planView|geometry|poly3|||||b|0.000000|
1002|road|planView|geometry|poly3|||||c|0.013303|
1002|road|planView|geometry|poly3|||||d|-0.003096|
1002|road|planView|geometry||||||s|11.300000|
1002|road|planView|geometry||||||x|19.852855|
1002|road|planView|geometry||||||y|-40.973222|
1002|road|planView|geometry||||||hdg|0.516113|
1002|road|planView|geometry||||||length|15.100000|
1002|road|planView|geometry|poly3|||||a|0.000000|
1002|road|planView|geometry|poly3|||||b|0.000000|
1002|road|planView|geometry|poly3|||||c|-0.017248|
1002|road|planView|geometry|poly3|||||d|-0.000371|
1002|road|planView|geometry||||||s|26.400000|
1002|road|planView|geometry||||||x|34.401524|
1002|road|planView|geometry||||||y|-38.004210|
1002|road|planView|geometry||||||hdg|6.165496|
1002|road|planView|geometry||||||length|11.000000|
1002|road|planView|geometry|poly3|||||a|0.000000|
1002|road|planView|geometry|poly3|||||b|0.000000|
1002|road|planView|geometry|poly3|||||c|-0.018943|
1002|road|planView|geometry|poly3|||||d|-0.000266|
1002|road|planView|geometry||||||s|37.400000|
1002|road|planView|geometry||||||x|44.653601|
1002|road|planView|geometry||||||y|-41.710084|
1002|road|planView|geometry||||||hdg|5.629824|
1002|road|planView|geometry||||||length|7.300000|
1002|road|planView|geometry|poly3|||||a|0.000000|
1002|road|planView|geometry|poly3|||||b|0.000000|
1002|road|planView|geometry|poly3|||||c|-0.000000|
1002|road|planView|geometry|poly3|||||d|0.000000|
1002|road|lanes|laneSection||||||s|0.000000|
1002|road|lanes|laneSection||||||singleSide|true|
1002|road|lanes|laneSection|center|lane||||type|driving|
1002|road|lanes|laneSection|center|lane||||id|0|
1002|road|lanes|laneSection|center|lane||||level|true|
1002|road|lanes|laneSection|center|lane|link|predecessor||id|0|
1002|road|lanes|laneSection|center|lane|link|successor||id|0|
1002|road|lanes|laneSection|right|lane||||type|driving|
1002|road|lanes|laneSection|right|lane||||id|-1|
1002|road|lanes|laneSection|right|lane||||level|true|
1002|road|lanes|laneSection|right|lane|link|predecessor||id|-1|
1002|road|lanes|laneSection|right|lane|link|successor||id|-1|
1002|road|lanes|laneSection|right|lane|width|||sOffset|0.000000|
1002|road|lanes|laneSection|right|lane|width|||a|3.653765|
1002|road|lanes|laneSection|right|lane|width|||b|-0.039930|
1002|road|lanes|laneSection|right|lane|width|||c|0.024317|
1002|road|lanes|laneSection|right|lane|width|||d|-0.001917|
1002|road|lanes|laneSection|right|lane|roadMark|||sOffset|0.000000|
1002|road|lanes|laneSection|right|lane|roadMark|||type|solid|
1002|road|lanes|laneSection|right|lane|roadMark|||weight|standard|
1002|road|lanes|laneSection|right|lane|roadMark|||color|standard|
1002|road|lanes|laneSection|right|lane|roadMark|||material|standard|
1002|road|lanes|laneSection|right|lane|roadMark|||width|0.080000|
1002|road|lanes|laneSection|right|lane|roadMark|||laneChange|none|
1002|road|lanes|laneSection|right|lane|roadMark|||height|0.000000|
1002|road|lanes|laneSection||||||s|7.800000|
1002|road|lanes|laneSection||||||singleSide|true|
1002|road|lanes|laneSection|center|lane||||type|driving|
1002|road|lanes|laneSection|center|lane||||id|0|
1002|road|lanes|laneSection|center|lane||||level|true|
1002|road|lanes|laneSection|center|lane|link|predecessor||id|0|
1002|road|lanes|laneSection|center|lane|link|successor||id|0|
1002|road|lanes|laneSection|right|lane||||type|driving|
1002|road|lanes|laneSection|right|lane||||id|-1|
1002|road|lanes|laneSection|right|lane||||level|true|
1002|road|lanes|laneSection|right|lane|link|predecessor||id|-1|
1002|road|lanes|laneSection|right|lane|link|successor||id|-1|
1002|road|lanes|laneSection|right|lane|width|||sOffset|0.000000|
